method,path,in_burp,burp_hits,burp_statuses,swagger_tag,swagger_summary
POST,/api/v1/BaseConfig/BindSnProduct,yes,1,200,BaseConfig,绑定产品与SN号
POST,/api/v1/BaseConfig/CareAuditSnAuditing,yes,1,500,BaseConfig,SN验证信息审核
POST,/api/v1/BaseConfig/CareAuditSnExport,yes,1,500,BaseConfig,验机审核导出
POST,/api/v1/BaseConfig/CareAuditSnSearchPage,yes,1,500,BaseConfig,验机审核分页查询
GET,/api/v1/BaseConfig/CurrencySelected,yes,1,200,BaseConfig,根据险种名称获取币种列表
POST,/api/v1/BaseConfig/DeleteAirType,yes,1,200,BaseConfig,删除机型
POST,/api/v1/BaseConfig/DeleteMultiYearProductTypeMap,yes,1,200,BaseConfig,删除两年期保险映射关系配置
POST,/api/v1/BaseConfig/DeleteSnProduct,yes,1,200,BaseConfig,删除绑定产品与SN号
POST,/api/v1/BaseConfig/GetCountryCodeList,yes,1,200,BaseConfig,获取国家编码列表
POST,/api/v1/BaseConfig/GetExchangeList,yes,1,500,BaseConfig,获取汇率列表
POST,/api/v1/BaseConfig/GetProductType,yes,1,200,BaseConfig,获取保险产品型号集合
POST,/api/v1/BaseConfig/GetSnConfigList,yes,1,500,BaseConfig,获取SN配置列表
GET,/api/v1/BaseConfig/GetTotalAuditSnInfoById,yes,1,200,BaseConfig,获取完整不加密的海外验机信息
GET,/api/v1/BaseConfig/InsuranceCompanyList,yes,1,200,BaseConfig,获取保险公司集合
GET,/api/v1/BaseConfig/InsuranceNameSelected,yes,1,200,BaseConfig,根据保险类型（TypeCode）获取险种名称
POST,/api/v1/BaseConfig/LoadAirType,yes,1,500,BaseConfig,加载机型列表
GET,/api/v1/BaseConfig/LoadEnum,yes,1,200,BaseConfig,加载VASC相关枚举
GET,/api/v1/BaseConfig/LoadRightsDescription,yes,1,200,BaseConfig,获取基础权益服务
GET,/api/v1/BaseConfig/LoadRoList,yes,1,200,BaseConfig,加载所有RO
GET,/api/v1/BaseConfig/ProductLevelComboxData,yes,1,200,BaseConfig,保养类型下拉框数据
POST,/api/v1/BaseConfig/SearchMultiYearProductTypeMap,yes,1,500,BaseConfig,查询两年期保险映射关系配置
POST,/api/v1/BaseConfig/SubmitAirType,yes,1,500,BaseConfig,新增/修改机型
POST,/api/v1/BaseConfig/SubmitExchangeRate,yes,1,500,BaseConfig,汇率管理(add或update)
POST,/api/v1/BaseConfig/SubmitMultiYearProductTypeMap,yes,1,200,BaseConfig,新增、修改两年期保险映射关系配置
POST,/api/v1/BaseConfig/UpdateSnProduct,yes,1,200,BaseConfig,修改产品与SN号
POST,/api/v1/BlackList/LoadBlackList,yes,1,500,BlackList,客户黑名单列表查询
POST,/api/v1/BlackList/SubmitBlackList,yes,1,200,BlackList,提交黑名单
POST,/api/v1/Common/BatchQueryCurrentMoney,yes,1,200,Common,批量获取保险当前剩余额度
POST,/api/v1/Common/BatchQueryInsuranceType,yes,1,200,Common,批量获取指定机型下所有保险类型
POST,/api/v1/Common/BatchQueryWhiteList,yes,1,200,Common,批量白名单查询
GET,/api/v1/Common/CheckSnConfigBlackList,yes,1,200,Common,"【DTS队列任务】定时检查SN配置是否存在新品牌SN标签头，并增加邮件告警 <br>仅国内提醒即可，海外无需重复检查"
GET,/api/v1/Common/CommonDtsTask,yes,1,200,Common,【DTS】公共定时任务
POST,/api/v1/Common/OpenApiRequest,yes,1,200,Common,"【OpenApi】对外请求入口 <br>仅提供给openapi应用调用"
GET,/api/v1/Common/PullCustomizedLabelHead,yes,1,200,Common,【DTS队列任务】获取MES新品牌SN标签头，并落库保存处理
POST,/api/v1/Common/QueryWhiteList,yes,1,200,Common,白名单查询
POST,/api/v1/Common/SearchFactoryCode,yes,1,200,Common,根据sn获取出厂编码
GET,/api/v1/Common/SnSearch,yes,1,200,Common,SnSearch
POST,/api/v1/Common/SnSearch,yes,1,200,Common,SnSearch
POST,/api/v1/Common/SubmitRo,yes,1,200,Common,"RO提交 <br>Type: 1：新增，0：删除"
GET,/api/v1/Common/ValidateMachineSNCode,yes,1,200,Common,验证SN的有效性
POST,/api/v1/CommonAPI/AddWhiteList,yes,1,200,CommonAPI,添加白名单
POST,/api/v1/CommonAPI/CancelPushSuitCareInsurance,yes,1,200,CommonAPI,LMS撤销推送
GET,/api/v1/CommonAPI/CertNoCheckInsurance,yes,1,200,CommonAPI,根据保险凭证号返回保险信息
POST,/api/v1/CommonAPI/CheckAllCareInfo,yes,1,200,CommonAPI,检验SN是否存在任何有效的投保记录
GET,/api/v1/CommonAPI/CheckPushInsurance,yes,1,200,CommonAPI,校验投保数据
POST,/api/v1/CommonAPI/CloudBustApplyPolicy,yes,1,200,CommonAPI,统一投保接口
POST,/api/v1/CommonAPI/CustomerCheck,yes,1,200,CommonAPI,客户信息检测，是否添加或者更新，或者不执行任何操作
POST,/api/v1/CommonAPI/ExecuteUpdateActUseInfoJob,yes,1,500,CommonAPI,更新用户信息（只有SN激活的才会更新）
GET,/api/v1/CommonAPI/GetAllInsuranceTypes,yes,1,200,CommonAPI,获取所有保险类型
GET,/api/v1/CommonAPI/GetCareAirTypeList,yes,1,200,CommonAPI,获取机型集合
GET,/api/v1/CommonAPI/InsuranceQuery,yes,1,500,CommonAPI,续保查询接口-v 1.1
POST,/api/v1/CommonAPI/InsuranceQuery,yes,1,200,CommonAPI,保险校验接口-v 1.2
POST,/api/v1/CommonAPI/InsuranceQueryCloudbus,yes,1,200,CommonAPI,保险校验接口-v 1.3
GET,/api/v1/CommonAPI/OrderPolling,yes,1,200,CommonAPI,推送轮询
GET,/api/v1/CommonAPI/OrderPollingExt,yes,1,200,CommonAPI,推送轮询（并发版）
POST,/api/v1/CommonAPI/PushInsurance,yes,1,200,CommonAPI,推送投保
POST,/api/v1/CommonAPI/PushInsuranceCloudbus,yes,1,200,CommonAPI,推送投保(网关接口)
POST,/api/v1/CommonAPI/PushSuitCareInsurance,yes,1,200,CommonAPI,Care激活推送接口 -LMS
POST,/api/v1/CommonAPI/RefreshRedis,yes,1,200,CommonAPI,刷新Redis缓存
GET,/api/v1/CommonAPI/SearchSnConfigBySn,yes,1,200,CommonAPI,"根据SN获取机型 查询任意sn前三位对应的SN配置记录"
POST,/api/v1/CommonAPI/SearchSnConfigBySnToList,yes,1,200,CommonAPI,批量查询任意sn前三位对应的SN配置记录
GET,/api/v1/CommonAPI/SendOverTimeInsuranceMsg,yes,1,200,CommonAPI,"发送今天农机保险状态过期变更的消息广播（队列执行） 由SetOverTime旧接口重新命名为SendOverTimeInsuranceMsg"
GET,/api/v1/CommonAPI/SetCareOverTime,yes,1,200,CommonAPI,定时刷保险过期状态（队列执行）
POST,/api/v1/CommonAPI/ShieldPlusInsuranceQuery,yes,1,200,CommonAPI,极享保险查询
POST,/api/v1/CommonAPI/SnCheckInsurance,yes,1,200,CommonAPI,根据SN返回案例详情
GET,/api/v1/CustomerService/AnalysisCertiNumber,yes,1,200,CustomerService,批量解析客户的证件号，提取生日及性别（定时任务）
POST,/api/v1/CustomerService/GeneratNotice,yes,1,200,CustomerService,创建队列获取用户中心的uid(云后台线下投保调用)
POST,/api/v1/CustomerService/InfomationChangeNotice,yes,1,200,CustomerService,客户邮箱或电话变更时，需要同步用户中心读取最新的uid，并更新历史uid关联记录(云后台调用)
GET,/api/v1/CustomerService/RefreshActivePushSNList,yes,1,200,CustomerService,刷新激活广播SN标签头redis缓存
POST,/api/v1/CustomerService/ShowCustomerInfo,yes,1,200,CustomerService,展示用户真实信息
POST,/api/v1/CustomerService/SyncUserCenterUid,yes,1,200,CustomerService,获取用户中心的uid（队列调用）
POST,/api/v1/CustomerService/Unsubscribe,yes,1,200,CustomerService,营销通知邮件或短信确认退订入口
POST,/api/v1/CustomerService/UpdateCareInfoPlus,yes,1,200,CustomerService,保险客户信息高级修改
POST,/api/v1/DJICare/ActivationDown,yes,1,200,DJICare,生成激活码
GET,/api/v1/DJICare/ActiveBroadGetUserInfo,yes,1,200,DJICare,定时任务根据激活广播获取用户信息
POST,/api/v1/DJICare/AddActCareRecord,yes,1,200,DJICare,云后台套装Care手动投保
POST,/api/v1/DJICare/AddInsuredToCarePool,yes,1,200,DJICare,公共方法写入推送池
POST,/api/v1/DJICare/AddVirtualClatime,yes,1,200,DJICare,添加虚拟扣减次数
POST,/api/v1/DJICare/BatchCareQuery,yes,1,200,DJICare,"批量查询保险记录 <br>SN集合限制在100个以内"
POST,/api/v1/DJICare/BindingSnChange,yes,1,200,DJICare,T16、T20续保保险与部件SN关系替换
POST,/api/v1/DJICare/CareSearch,yes,1,200,DJICare,行业Care查询
POST,/api/v1/DJICare/CareSearchExtend,yes,1,200,DJICare,根据sn查询相关信息:新
GET,/api/v1/DJICare/CheckActiveBroadUserInfo,yes,1,200,DJICare,12H监控激活
POST,/api/v1/DJICare/CheckBlacklist,yes,1,200,DJICare,根据手机|邮箱检查黑名单
POST,/api/v1/DJICare/CheckRenewalBySn,yes,1,200,DJICare,根据机身sn检索是否存在T16、T20续保
POST,/api/v1/DJICare/CheckSnReplace,yes,1,200,DJICare,[RPMS]检索sn是否替换成功，并返回sn替换记录
GET,/api/v1/DJICare/CheckUploadSn,yes,1,200,DJICare,T16保险上报SN信息校验接口
GET,/api/v1/DJICare/CreatePromptJob,yes,1,200,DJICare,"创建定时推送任务 <br>ToDo: 希望后期把临期续保推送、白名单推送和保证金临期推送都整合进来"
POST,/api/v1/DJICare/DoPromptJobPush,yes,1,200,DJICare,开始执行对应推送任务-队列任务
GET,/api/v1/DJICare/EventRetry,yes,1,200,DJICare,网关广播消息失败重试（队列定时调用）
POST,/api/v1/DJICare/ExcuteMarginChargeJob,yes,1,200,DJICare,执行预授权临期推送
GET,/api/v1/DJICare/ExecutePush,yes,1,200,DJICare,执行推送
POST,/api/v1/DJICare/ExitInsurance,yes,1,200,DJICare,退保
POST,/api/v1/DJICare/ExitInsuranceOffline,yes,1,200,DJICare,线下退保
POST,/api/v1/DJICare/GeneratEvent,yes,7,200,DJICare,创建网关消息（队列调用）
POST,/api/v1/DJICare/GetSnReplaceList,yes,1,500,DJICare,查询SN替换记录列表
POST,/api/v1/DJICare/InsuranceClaim,yes,1,200,DJICare,"【New】理赔接口 <br>统一理赔接口，支持同时使用多种保险权益"
POST,/api/v1/DJICare/InsuranceModifEvent,yes,1,200,DJICare,Care变更创建网关广播消息
POST,/api/v1/DJICare/InsuranceSnBindingCheck,yes,1,200,DJICare,保险凭证号和部件sn绑定关系查询接口
POST,/api/v1/DJICare/InsuranceUpdateState,yes,1,200,DJICare,京东权益工单状态回传（队列调用）
POST,/api/v1/DJICare/InsureByRepair,yes,1,200,DJICare,[自助]客户填完信息后激活套装care
POST,/api/v1/DJICare/LoadInsuranceList,yes,1,200,DJICare,查询保险记录列表
GET,/api/v1/DJICare/LoadServiceEmail,yes,1,200,DJICare,批量发送的邮件协议
POST,/api/v1/DJICare/MgCareSearch,yes,1,200,DJICare,根据sn查询农机的保险信息
GET,/api/v1/DJICare/ModifEventRetry,yes,1,200,DJICare,Care变更网关广播消息失败重试（定时任务）
POST,/api/v1/DJICare/NonDJIBenefitsCheck,yes,1,200,DJICare,非DJi赔付保险查询接口
GET,/api/v1/DJICare/PreDelayMarginChargeJob,yes,1,200,DJICare,预授权保证金临期推送告警定时任务
GET,/api/v1/DJICare/PremiumChecking,yes,1,200,DJICare,保费异常监控
GET,/api/v1/DJICare/PullPassiveOrders,yes,1,200,DJICare,"拉取京东权益工单（队列定时执行） 由于京东接口访问频率限制，队列间隔执行时间必须大于等于5分钟"
GET,/api/v1/DJICare/PushActUserInfoToCarePool,yes,1,200,DJICare,套装Care自动触发-定时
POST,/api/v1/DJICare/PushDeliverSNToWhiteList,yes,1,200,DJICare,CRM发货单白名单推送
GET,/api/v1/DJICare/PushPassiveOrders,yes,1,200,DJICare,京东权益工单推送投保套装池或保险退保（队列定时调用）
POST,/api/v1/DJICare/QueryCare,yes,1,200,DJICare,"任意SN查询正常、过期和失效的保险信息 可支持批量，每个SN使用$隔开，数量最大100个"
POST,/api/v1/DJICare/QueryCareByDjiService,yes,1,200,DJICare,根据机架和云台SN查询DJI CARE 记录
POST,/api/v1/DJICare/QueryCareExt,yes,1,200,DJICare,"保险查询扩展接口 <br>自助机器人调用"
POST,/api/v1/DJICare/QueryCareState,yes,1,200,DJICare,"查询SN是否支持购买新品及续保状态 <br>Mimo App使用"
POST,/api/v1/DJICare/QueryExchangeRate,yes,1,500,DJICare,获取汇率信息
POST,/api/v1/DJICare/QueryInsurance,yes,1,200,DJICare,获取保险记录
POST,/api/v1/DJICare/QueryInsuranceByActivationCardNo,yes,1,200,DJICare,"通过激活卡号查询保险 <br>根据激活卡号查询对应的保险信息"
POST,/api/v1/DJICare/QueryInsuranceBySn,yes,1,500,DJICare,"保险查询 <br>统一保险信息查询接口"
POST,/api/v1/DJICare/QueryMGBlance,yes,1,200,DJICare,查询农机dji care额度
POST,/api/v1/DJICare/RefundCancel,yes,1,200,DJICare,退货取消记录生成
GET,/api/v1/DJICare/RefundCancelTask,yes,1,200,DJICare,【DTS定时任务】触发退货取消任务
GET,/api/v1/DJICare/ResendServiceEmail,yes,1,200,DJICare,重发协议
GET,/api/v1/DJICare/RetryExcutePromptJob,yes,1,200,DJICare,重新执行失败的定时推送任务(Hangfier任务)
GET,/api/v1/DJICare/RetryInsuranceUpdateState,yes,1,200,DJICare,重试京东权益工单状态回传（队列定时调用）
GET,/api/v1/DJICare/RetryPushReCloudFailRecord,yes,1,200,DJICare,【DTS队列任务】重试失败记录
POST,/api/v1/DJICare/SearchVirtualClatime,yes,1,200,DJICare,查询虚拟扣减次数
POST,/api/v1/DJICare/SyncBindingUpdate,yes,1,200,DJICare,保险转移更新保险与部件绑定关系(队列调用)
POST,/api/v1/DJICare/SyncBlacklist,yes,1,200,DJICare,同步黑名单
POST,/api/v1/DJICare/UploadClaimInfo,yes,1,200,DJICare,保险记录上传
POST,/api/v1/DevOps/BatchChangeCareRelation,yes,1,200,DevOps,"批量绑定续保关联关系 <br>数量限制在1~100个"
POST,/api/v1/DevOps/ChangeCareRelation,yes,1,200,DevOps,更改保险续保关联关系
POST,/api/v1/DevOps/ChangeCareStatus,yes,1,200,DevOps,更改保险状态
POST,/api/v1/DevOps/DeleteOrRebackSuitCare,yes,1,200,DevOps,删除或恢复套装Care记录
GET,/api/v1/DevOps/GeneratAgreementNo,yes,1,200,DevOps,批量创建协议号
POST,/api/v1/DevOps/ModifEventRecord,yes,1,200,DevOps,新增保险变事件更记录
POST,/api/v1/DevOps/ReleaseIntransitIncident,yes,1,200,DevOps,释放保险在途记录
POST,/api/v1/DevOps/UnLockActivation,yes,1,200,DevOps,解锁激活码
POST,/api/v1/ExclusiveConsultant/AddOrEditExclusiveConsultant,yes,1,500,ExclusiveConsultant,新增或修改顾问专属权益
POST,/api/v1/ExclusiveConsultant/DeleteById,yes,1,200,ExclusiveConsultant,顾问专属权益配置删除
POST,/api/v1/ExclusiveConsultant/GetExclusiveConsultantList,yes,1,500,ExclusiveConsultant,顾问专属权益信息查询
POST,/api/v1/ExclusiveConsultant/UpdateStatus,yes,1,500,ExclusiveConsultant,顾问专属权益停用/启用
POST,/api/v1/FlyLose/AddOrEditAuthentication,yes,1,200,FlyLose,新增或者编辑飞丢认证信息
POST,/api/v1/FlyLose/CheckFlyLose,yes,1,200,FlyLose,查询是否存在飞丢权益
POST,/api/v1/FlyLose/CheckSnFlyAwayStatus,yes,1,200,FlyLose,查询SN飞丢状态接口
POST,/api/v1/FlyLose/CheckSnFlyAwayStatusForCC,yes,1,200,FlyLose,查询SNSN飞丢状态(CC专用)
POST,/api/v1/FlyLose/CheckSnIsFlyAwayProof,yes,1,200,FlyLose,查询SN是否飞丢认证
POST,/api/v1/FlyLose/ExportAuthentication,yes,1,200,FlyLose,飞丢认证清单异步导出
POST,/api/v1/FlyLose/GetAuthenticationList,yes,1,500,FlyLose,获取认证列表
GET,/api/v1/FlyLose/GetSingleTotalAuthenticationInfo,yes,1,200,FlyLose,根据Id查询完整的飞丢清单信息
POST,/api/v1/FlyLose/QueryFlyAwayProof,yes,1,200,FlyLose,批量查询sn是否存在有效的飞丢认证清单
POST,/api/v1/FlyLose/StopAuthentication,yes,1,200,FlyLose,飞丢认证停用
POST,/api/v1/FlyLose/SyncAuthentication,yes,1,200,FlyLose,生成飞丢认证记录（dji service使用）
POST,/api/v1/FlyLose/UpdateFlyLoseCaseNo,yes,1,200,FlyLose,更新飞丢认证的案例号
GET,/api/v1/Health/Check,yes,1,200,Health,心跳接口
GET,/api/v1/Health/Error,yes,1,500,Health,主动抛500异常接口
POST,/api/v1/Health/Error,yes,1,500,Health,主动抛500异常接口
GET,/api/v1/Health/HeartCheckBeforeStart,yes,1,200,Health,"心跳监测,校验成功返回状态码200，失败返回500"
POST,/api/v1/Industry/InsuranceQuery,yes,1,500,Industry,保险查询接口
POST,/api/v1/Industry/PushInsurance,yes,1,500,Industry,推送保险信息
POST,/api/v1/Insurance/AddWhiteList,yes,1,200,Insurance,添加白名单
POST,/api/v1/Insurance/AsmsExportInsuranceList,yes,1,500,Insurance,云后台保险列表导出
POST,/api/v1/Insurance/AsmsLoadInsuranceList,yes,1,500,Insurance,云后台保险列表查询
POST,/api/v1/Insurance/BatchCareInsured,yes,1,200,Insurance,批量保险投保
POST,/api/v1/Insurance/BatchGiftVPMoney,yes,1,200,Insurance,批量赠送易损额度
POST,/api/v1/Insurance/BatchSurrender,yes,1,200,Insurance,批量退保
POST,/api/v1/Insurance/BindRenewalLevel,yes,1,200,Insurance,加载保险类型绑定的标识码
POST,/api/v1/Insurance/BindingLoadRecords,yes,1,500,Insurance,"ASMS 换绑历史查询 <br>查询自助换绑（selfService）与人工换绑（manual）审计记录，变更前后值脱敏返回"
POST,/api/v1/Insurance/CheckOfflineInsured,yes,1,200,Insurance,检查是否可以线下投保
POST,/api/v1/Insurance/DelInsuranceTypeIsoMap,yes,1,200,Insurance,删除增值服务映射关系配置
POST,/api/v1/Insurance/DeleteProductType,yes,1,200,Insurance,删除保险型号
POST,/api/v1/Insurance/DeleteRenewalLevel,yes,1,200,Insurance,删除标识码
POST,/api/v1/Insurance/ExitCarePlus,yes,1,200,Insurance,云后台无校验退保
POST,/api/v1/Insurance/ExportCare,yes,1,500,Insurance,云后台保险列表异步导出
POST,/api/v1/Insurance/ExportInsurancePremium,yes,1,500,Insurance,导出保险记录-保费
POST,/api/v1/Insurance/ExportWhiteList,yes,1,200,Insurance,白名单异步导出
POST,/api/v1/Insurance/InsuranceProductTypeSearchPage,yes,1,500,Insurance,获取保险型号列表
GET,/api/v1/Insurance/LoadInsuranceSlavePlus,yes,1,200,Insurance,加载关联保险-客户高级信息修改使用
POST,/api/v1/Insurance/LoadInsuranceTypeIsoMap,yes,1,500,Insurance,查询增值服务映射关系配置
POST,/api/v1/Insurance/LoadSnReplace,yes,1,500,Insurance,SN替换列表查询
POST,/api/v1/Insurance/ManuallyInsured,yes,1,200,Insurance,云后台手动投保
POST,/api/v1/Insurance/ModifeInsuranceTypeIsoMap,yes,1,500,Insurance,编辑增值服务映射关系配置
POST,/api/v1/Insurance/OfflineInsurance,yes,1,200,Insurance,线下投保
POST,/api/v1/Insurance/ProductTypeSubmitInfo,yes,1,500,Insurance,保险型号提交
POST,/api/v1/Insurance/RenewalLevelList,yes,1,500,Insurance,加载标识码列表
POST,/api/v1/Insurance/SearchEnterpriseShieldPlus,yes,1,200,Insurance,根据协议号获取极享原保单信息
GET,/api/v1/Insurance/SearchInsuranceSlave,yes,1,200,Insurance,加载关联保险(保险列表点击查询关联保险时调用)
POST,/api/v1/Insurance/SetSuspendInsurance,yes,1,200,Insurance,设置保险状态(正常或停保)
POST,/api/v1/Insurance/SettingPremiumStatus,yes,1,200,Insurance,设置保险保费状态为外部异常状态
POST,/api/v1/Insurance/SubmitRenewalLevel,yes,1,200,Insurance,新增|编辑标识码
POST,/api/v1/Insurance/UpdateCarePhoneEmail,yes,1,200,Insurance,编辑保险当前电话和邮箱
POST,/api/v1/Insurance/WhiteListSearchPage,yes,1,500,Insurance,白名单管理分页查询
POST,/api/v1/InsuranceRegionConfig/DeleteInsuranceRegionConfig,yes,1,200,InsuranceRegionConfig,删除保险版本地区配置
POST,/api/v1/InsuranceRegionConfig/EditInsuranceRegionConfig,yes,1,200,InsuranceRegionConfig,新增和修改保险版本地区配置
POST,/api/v1/InsuranceRegionConfig/GetInsuranceRegionConfigPageList,yes,1,500,InsuranceRegionConfig,查询保险版本地区配置
POST,/api/v1/InsuranceType/DeleteInsuranceType,yes,1,200,InsuranceType,删除保险类型
POST,/api/v1/InsuranceType/ExportInsuranceTypePremium,yes,1,500,InsuranceType,导出保险类型保费
POST,/api/v1/InsuranceType/GetPremiumSetting,yes,1,200,InsuranceType,获取保费配置
POST,/api/v1/InsuranceType/GetRenewalProductType,yes,1,200,InsuranceType,获取原单可续保保险型号
POST,/api/v1/InsuranceType/InsuranceTypeList,yes,1,500,InsuranceType,获取保险类型列表
GET,/api/v1/InsuranceType/LoadRelationProductType,yes,1,200,InsuranceType,加载关联保险型号
GET,/api/v1/InsuranceType/LoadThreeInsurance,yes,1,200,InsuranceType,加载单三者保险类型接口
POST,/api/v1/InsuranceType/PremiumSetting,yes,1,200,InsuranceType,保费配置
POST,/api/v1/InsuranceType/RecommendCareVersion,yes,1,200,InsuranceType,推荐care版本
POST,/api/v1/InsuranceType/RecommendServiceEmail,yes,1,200,InsuranceType,推荐服务协议(推送短信模版，推送邮件模版)
POST,/api/v1/InsuranceType/SubmitInsuranceType,yes,1,200,InsuranceType,提交保险类型
POST,/api/v1/IntransitIncident/Query,yes,1,500,IntransitIncident,获取在途记录列表
POST,/api/v1/IntransitIncident/Release,yes,1,200,IntransitIncident,释放在途记录
POST,/api/v1/JDOrder/Query,yes,1,500,JDOrder,京东权益工单列表查询
POST,/api/v1/JDOrder/RetryPush,yes,1,200,JDOrder,重试推送
POST,/api/v1/Level/AddOrUpdateLevel,yes,1,200,Level,新增或者修改保养等级
GET,/api/v1/Level/ComboxData,yes,1,200,Level,等级下拉框数据加载
POST,/api/v1/Level/DeleteLevelList,yes,1,200,Level,删除等级信息
POST,/api/v1/Level/GetAllLevelFindPageList,yes,1,500,Level,分页获取等级
GET,/api/v1/LifeCover/BalanceQuery,yes,1,200,LifeCover,凭证余额查询
POST,/api/v1/Maintenance/BatchMaintenanceCodeCheck,yes,1,200,Maintenance,批量验证保养码
POST,/api/v1/Maintenance/CodeCheck,yes,1,200,Maintenance,保养查询接口
POST,/api/v1/Maintenance/CreateMaintenanceCode,yes,1,200,Maintenance,云后台生成保养码接口
POST,/api/v1/Maintenance/ExternalInvokingCreateMaintenanceCode,yes,1,200,Maintenance,外部调用生成保养码（pi或者代理商）
POST,/api/v1/Maintenance/StateChange,yes,1,200,Maintenance,保养码状态变更接口
POST,/api/v1/Maintenance/UploadClaimInfo,yes,1,200,Maintenance,上传保养记录
POST,/api/v1/Maintenance/UseRecord,yes,1,200,Maintenance,保养产品使用记录查询接口
POST,/api/v1/MaintenanceCodeManager/CreateMaintenanceCode,yes,1,200,MaintenanceCodeManager,云后台生成保养码接口
GET,/api/v1/MaintenanceCodeManager/GetMaintenanceReportFileUrl,yes,1,200,MaintenanceCodeManager,获取保养报告链接url
GET,/api/v1/MaintenanceCodeManager/LoadProductTypeCombox,yes,1,200,MaintenanceCodeManager,"获取保险型号,保养码生成页专用"
POST,/api/v1/MaintenanceCodeManager/MaintenanceCodeExport,yes,1,500,MaintenanceCodeManager,导保养码列表
POST,/api/v1/MaintenanceCodeManager/MaintenanceCodeOperation,yes,1,200,MaintenanceCodeManager,保养码操作
POST,/api/v1/MaintenanceCodeManager/QueryMaintenanceCodeTrackList,yes,1,500,MaintenanceCodeManager,分页查询保养码追踪数据
POST,/api/v1/MaintenanceCodeManager/SearchMaintenanceCodePageList,yes,1,500,MaintenanceCodeManager,保养码分页查询
POST,/api/v1/MaintenanceCodeManager/SearchUseMaintenanceCodePageList,yes,1,500,MaintenanceCodeManager,保养码使用记录分页查询
GET,/api/v1/MaintenanceCodeManager/UpdateMaintenanceCodeStatus,yes,1,200,MaintenanceCodeManager,定时更新过期保养码
POST,/api/v1/MaintenanceCodeManager/UseMaintenanceCodeExport,yes,1,200,MaintenanceCodeManager,保养码使用记录导出
POST,/api/v1/MaintenanceCodeManager/UseMaintenanceCodeExportEncypt,yes,1,200,MaintenanceCodeManager,保养码使用记录导出(SWS加密)
POST,/api/v1/MaintenanceProduct/Delete,yes,1,200,MaintenanceProduct,删除保养服务配置
POST,/api/v1/MaintenanceProduct/MaintenanceProductSearchPage,yes,1,500,MaintenanceProduct,保养服务配置分页查询
POST,/api/v1/MaintenanceProduct/ProductTypeCombox,yes,1,200,MaintenanceProduct,获取保险型号下拉框
